Concurrent requests,Baseline(s) [median],Baseline(s) [5th Percentile],Baseline(s) [95th Percentile],Karousos(s) [median],Karousos(s) [5th Percentile],Karousos(s) [95th Percentile]
1,0.13318780550000003,0.13136197865000002,0.13672466164999997,0.49204778850000014,0.4801018534000001,0.5077551967000001
10,0.13481687700000003,0.1322863980000001,0.13829451299999998,0.48814512449999986,0.47420137339999974,0.50800874495
20,0.137295631,0.13515589330000005,0.13821749594999994,0.47601360149999994,0.46513222844999996,0.5004049664000001
30,0.13757219350000005,0.13568467609999998,0.13956736000000008,0.4742785514999999,0.4665512858500001,0.4829279152000003
60,0.14034412550000008,0.13867165730000006,0.14314634920000002,0.47412024300000016,0.46707272380000014,0.4808123481999999
