Concurrent requests,Baseline(s) [median],Baseline(s) [5th Percentile],Baseline(s) [95th Percentile],Karousos(s) [median],Karousos(s) [5th Percentile],Karousos(s) [95th Percentile]
1,0.13201502400000004,0.13067550324999996,0.13831833265000001,0.8345327195000001,0.8175418835500002,0.8624765418999996
10,0.13441474049999988,0.13096093315000001,0.13754026074999995,0.8222382370000002,0.8056260333500002,0.8462608155499994
20,0.13596630749999997,0.13398032434999999,0.13782558744999995,0.7971154920000003,0.7840624330999999,0.8207433432500002
30,0.13493088549999996,0.1325825904500001,0.1367944948999999,0.7934716499999998,0.77436021325,0.8108126178499999
60,0.14028045849999995,0.13734209359999994,0.1426857717500002,0.7571798645000001,0.7474109167000006,0.7725246913999999
