Type,Min,Max,Mean,Median,1 Percentile,5 Percentile,95 Percentile,99 Percentile
server-2,276.743197,289.6844610000003,283.56866050000014,283.5772545000001,277.11235801000004,278.5890020500001,288.68624805000024,289.4848184100003
verifier,71.63068100000001,77.782027,74.7001747,74.17666750000001,71.73429971000002,72.14877455000001,77.76875245,77.77937209
server-0-KMODE2,446.5819269999997,446.5819269999997,446.5819269999997,446.5819269999997,446.5819269999997,446.5819269999997,446.5819269999997,446.5819269999997
original,131.76001199999985,138.2121600000001,135.28718620000004,135.37915750000002,131.8443429899999,132.18166694999996,137.76556605000013,138.1228412100001
verifier-KMODE2,67.445717,78.397782,71.9707969,69.847703,67.46227502,67.52850710000001,78.13354695,78.34493499
server-0,343.48504699999995,354.4438049999999,347.6750353,346.7526419999999,343.52414290999997,343.68052654999985,352.63296809999997,354.0816376199999
