Type,Min,Max,Mean,Median,1 Percentile,5 Percentile,95 Percentile,99 Percentile,Process,Process 5,Process 95
Original,5652.704386,6467.792752,5973.0163393,5933.747692,5661.226259020001,5695.3137511,6340.5157258,6442.33734676,0.0,0.0,0.0
Verifier,2999.4526829999995,3202.1724580000005,3104.2921493,3095.651785,3003.33102753,3018.84440565,3180.2280333999997,3197.78357308,2144.810421,2110.2237373,2194.6879648500003
Orochi-JS,4370.4787750000005,4516.523912,4446.3911073,4445.57419,4371.106837210001,4373.619086050001,4514.9987819,4516.218885979999,3440.4014015000002,3379.0087253,3483.0757817
