Type,Min,Max,Mean,Median,1 Percentile,5 Percentile,95 Percentile,99 Percentile,Process,Process 5,Process 95
Original,8474.865682,8783.032258999996,8664.986337600003,8706.384385500009,8478.97586644,8495.416604200003,8773.380913700003,8781.101989939998,0.0,0.0,0.0
Verifier,1450.5026630000002,1547.614035,1504.1189146,1506.7579595,1451.9651902700002,1457.8152993500003,1543.5969097500001,1546.81060995,839.7465865,824.5252747000001,869.1404970000001
Orochi-JS,1575.406544,1745.498834,1656.5187288,1662.3281065,1576.5680223499999,1581.21393575,1726.00459865,1741.59998693,840.0598835,821.0352504000001,884.58643265
