Type,Min,Max,Mean,Median,1 Percentile,5 Percentile,95 Percentile,99 Percentile,Process,Process 5,Process 95
Original,175.36131499999988,182.16794599999994,177.40670710000003,176.58964299999997,175.39814830999993,175.54548155000003,180.88152740000004,181.91066227999997,0.0,0.0,0.0
Verifier,3851.8824950000003,4080.934026,3923.1262866,3894.4651925000003,3852.1265743700005,3853.1028918500006,4061.37976785,4077.02317437,351.9002155,335.58826320000003,361.37819924999997
Orochi-JS,3865.9606740000004,3921.8593239999996,3893.7972623,3896.7684175,3865.9614130800005,3865.9643694000006,3920.52617245,3921.5926936899996,355.54824599999995,344.0466904,367.61299175
