Type,Min,Max,Mean,Median,1 Percentile,5 Percentile,95 Percentile,99 Percentile,Process,Process 5,Process 95
Original,180.277668,189.575585,183.33836379999997,182.9892474999998,180.30219399,180.40029795000007,187.7311439,189.20669678,0.0,0.0,0.0
Verifier,124.357472,139.406763,129.5190874,128.1897795,124.41881303,124.66417715,138.0175581,139.12892202,58.1798505,56.3610975,64.5942727
Orochi-JS,125.629985,146.170608,134.0261253,132.8524755,125.69628674,125.9614937,144.8287737,145.90224113999997,59.370923000000005,56.3190373,62.5610101
