Type,Min,Max,Mean,Median,1 Percentile,5 Percentile,95 Percentile,99 Percentile,Process,Process 5,Process 95
Original,515.074348,857.132398,652.4704049,581.8077089999999,515.48440519,517.1246339500001,836.1098591499999,852.92789023,0.0,0.0,0.0
Verifier,564.274682,633.0982650000001,602.3374066,609.017858,564.49466549,565.37459945,630.6219042,632.6029928400002,249.94496299999997,212.12496310000003,271.99183385
Orochi-JS,799.878055,857.098715,825.4823152000001,824.5944295000002,800.2896731500001,801.9361457500002,854.4976159999999,856.5784951999999,178.342141,170.83019875000002,184.99657905
