Type,Min,Max,Mean,Median,1 Percentile,5 Percentile,95 Percentile,99 Percentile,Process,Process 5,Process 95
Original,4880.464765999999,5700.156776,5358.6495886,5361.0303,4899.78282041,4977.055038050001,5698.5818448499995,5699.84178977,0.0,0.0,0.0
Verifier,3312.269833,3537.047498,3392.0642970999997,3382.7290040000003,3312.8619895300003,3315.2306156500003,3505.9807395499993,3530.83414631,730.7477435000001,718.9794286500002,744.0711903
Orochi-JS,3852.042408,4118.357700999999,4007.1879264,4040.7321135,3853.93365999,3861.4986679500003,4107.3979222,4116.165745239999,740.2382185,729.09743025,762.14184945
