Type,Min,Max,Mean,Median,1 Percentile,5 Percentile,95 Percentile,99 Percentile,Process,Process 5,Process 95
Original,178.10281000000015,185.363439,181.2027242000001,181.2580730000002,178.15277098000013,178.3526149000001,184.9352257499999,185.27779635,0.0,0.0,0.0
Verifier,3867.725622000001,3971.0723540000004,3905.3651629,3893.0879495,3867.948245820001,3868.8387411000003,3967.18810385,3970.2955039700005,349.886977,345.4189918,371.00007035
Orochi-JS,3871.5420599999998,3977.387929,3919.6753379,3917.3471250000002,3872.16090315,3874.63627575,3973.3634539000004,3976.5830339800004,353.75727700000004,335.7053088,370.6014916
