Type,Min,Max,Mean,Median,1 Percentile,5 Percentile,95 Percentile,99 Percentile,Process,Process 5,Process 95
Original,179.89251399999995,189.24483700000002,183.25091019999994,182.15818099999984,179.92789920999996,180.06944004999988,188.30574504999998,189.05701861,0.0,0.0,0.0
Verifier,777.349416,808.804856,788.843377,788.4022805000001,777.52014456,778.2030588,803.919899,807.8278646,142.982719,136.75234735,147.24514865
Orochi-JS,779.780906,810.211162,788.7492962,787.5870500000001,779.8793069599999,780.2729108000001,802.2086959,808.61066878,143.4933835,139.4450002,158.5409259
